cohort_week,purchase_week,l0_category,customer_count,cohort_index,min_val,mean_val,final_customer_count
2022-03-28,2022-03-28,All,256013,0,67527,626385.1428571428,256013.0
2022-03-28,2022-04-04,All,144817,1,419,45068.0,144817.0
2022-03-28,2022-04-11,All,135938,2,532,42000.25,135938.0
2022-03-28,2022-04-18,All,133603,3,535,41981.36363636364,133603.0
2022-03-28,2022-04-25,All,132493,4,526,42538.7,132493.0
2022-03-28,2022-05-02,All,130704,5,559,42689.444444444445,130704.0
2022-03-28,2022-05-09,All,126340,6,743,42599.0,126340.0
2022-03-28,2022-05-16,All,114180,7,1201,36463.28571428572,114180.0
2022-03-28,2022-05-23,All,1002,8,1002,35247.166666666664,35247.166666666664
2022-03-28,2022-05-30,All,103038,9,17469,59636.2,103038.0
2022-03-28,2022-06-06,All,112418,10,21244,68216.75,112418.0
2022-03-28,2022-06-13,All,106723,11,30801,77522.66666666667,106723.0
2022-03-28,2022-06-20,All,108720,12,67405,88062.5,108720.0
2022-03-28,2022-06-27,All,80760,13,80760,80760.0,80760.0
2022-04-04,2022-04-04,All,306066,0,67527,626385.1428571428,306066.0
2022-04-04,2022-04-11,All,122032,1,419,45068.0,122032.0
2022-04-04,2022-04-18,All,120732,2,532,42000.25,120732.0
2022-04-04,2022-04-25,All,118626,3,535,41981.36363636364,118626.0
2022-04-04,2022-05-02,All,118485,4,526,42538.7,118485.0
2022-04-04,2022-05-09,All,114522,5,559,42689.444444444445,114522.0
2022-04-04,2022-05-16,All,100396,6,743,42599.0,100396.0
2022-04-04,2022-05-23,All,1201,7,1201,36463.28571428572,36463.28571428572
2022-04-04,2022-05-30,All,88052,8,1002,35247.166666666664,88052.0
2022-04-04,2022-06-06,All,100961,9,17469,59636.2,100961.0
2022-04-04,2022-06-13,All,94450,10,21244,68216.75,94450.0
2022-04-04,2022-06-20,All,95044,11,30801,77522.66666666667,95044.0
2022-04-04,2022-06-27,All,67405,12,67405,88062.5,88062.5
2022-04-11,2022-04-11,All,193288,0,67527,626385.1428571428,193288.0
2022-04-11,2022-04-18,All,58973,1,419,45068.0,58973.0
2022-04-11,2022-04-25,All,57401,2,532,42000.25,57401.0
2022-04-11,2022-05-02,All,56666,3,535,41981.36363636364,56666.0
2022-04-11,2022-05-09,All,55934,4,526,42538.7,55934.0
2022-04-11,2022-05-16,All,48178,5,559,42689.444444444445,48178.0
2022-04-11,2022-05-23,All,743,6,743,42599.0,42599.0
2022-04-11,2022-05-30,All,41158,7,1201,36463.28571428572,41158.0
2022-04-11,2022-06-06,All,47961,8,1002,35247.166666666664,47961.0
2022-04-11,2022-06-13,All,45484,9,17469,59636.2,45484.0
2022-04-11,2022-06-20,All,44755,10,21244,68216.75,44755.0
2022-04-11,2022-06-27,All,30801,11,30801,77522.66666666667,77522.66666666667
2022-04-18,2022-04-18,All,158087,0,67527,626385.1428571428,158087.0
2022-04-18,2022-04-25,All,43564,1,419,45068.0,43564.0
2022-04-18,2022-05-02,All,41383,2,532,42000.25,41383.0
2022-04-18,2022-05-09,All,40056,3,535,41981.36363636364,40056.0
2022-04-18,2022-05-16,All,34474,4,526,42538.7,34474.0
2022-04-18,2022-05-23,All,609,5,559,42689.444444444445,609.0
2022-04-18,2022-05-30,All,28768,6,743,42599.0,28768.0
2022-04-18,2022-06-06,All,33779,7,1201,36463.28571428572,33779.0
2022-04-18,2022-06-13,All,31787,8,1002,35247.166666666664,31787.0
2022-04-18,2022-06-20,All,31229,9,17469,59636.2,31229.0
2022-04-18,2022-06-27,All,21244,10,21244,68216.75,68216.75
2022-04-25,2022-04-25,All,144849,0,67527,626385.1428571428,144849.0
2022-04-25,2022-05-02,All,36541,1,419,45068.0,36541.0
2022-04-25,2022-05-09,All,33852,2,532,42000.25,33852.0
2022-04-25,2022-05-16,All,29074,3,535,41981.36363636364,29074.0
2022-04-25,2022-05-23,All,526,4,526,42538.7,42538.7
2022-04-25,2022-05-30,All,24303,5,559,42689.444444444445,24303.0
2022-04-25,2022-06-06,All,27694,6,743,42599.0,27694.0
2022-04-25,2022-06-13,All,25803,7,1201,36463.28571428572,25803.0
2022-04-25,2022-06-20,All,26043,8,1002,35247.166666666664,26043.0
2022-04-25,2022-06-27,All,17469,9,17469,59636.2,59636.2
2022-05-02,2022-05-02,All,145349,0,67527,626385.1428571428,145349.0
2022-05-02,2022-05-09,All,34958,1,419,45068.0,34958.0
2022-05-02,2022-05-16,All,28401,2,532,42000.25,28401.0
2022-05-02,2022-05-23,All,535,3,535,41981.36363636364,41981.36363636364
2022-05-02,2022-05-30,All,23671,4,526,42538.7,23671.0
2022-05-02,2022-06-06,All,26806,5,559,42689.444444444445,26806.0
2022-05-02,2022-06-13,All,24668,6,743,42599.0,24668.0
2022-05-02,2022-06-20,All,24463,7,1201,36463.28571428572,24463.0
2022-05-02,2022-06-27,All,16638,8,1002,35247.166666666664,16638.0
2022-05-09,2022-05-09,All,137847,0,67527,626385.1428571428,137847.0
2022-05-09,2022-05-16,All,28482,1,419,45068.0,28482.0
