review_title,split_2_category,bert_topics,name_of_topic,x2,y2,z2,is_outlier
Good but creates noise. ,Kitchen & Home Appliances,1,Product Quality Related,-2.749299163095115,9.393262056616978,4.756292436732974,False
Must to buy this pencil. ,Mobiles & Accessories,1,Product Quality Related,-2.763421519162606,9.008887238303148,4.216794464645742,False
Honest opinion.. ,Mobiles & Accessories,1,Product Quality Related,-3.19754898454862,10.182332867966691,0.8445214944601753,True
Size is not to big not to small. ,Accessories & Peripherals,1,Product Quality Related,-2.072400717309682,8.48301170863895,4.718623330575751,False
Durability and Quality. ,Accessories & Peripherals,1,Product Quality Related,-2.421742296631205,9.366990543777765,4.236244699082058,False
Can be a Great Product. ,"Heating, Cooling, & Air Quality",1,Product Quality Related,-3.1425153084675053,8.830030619814407,5.062727726715668,False
The final finish product is not  elegant.. ,"Heating, Cooling, & Air Quality",-1,General Review,1.5209487620681053,-6.8258556381000615,-6.6472604753907305,False
. very good producteasy to handleuse of dpi is awesome,Accessories & Peripherals,0,Good Review,-8.483228372798667,6.987835906209647,1.8986152845236899,False
Average. ,Accessories & Peripherals,6,Average Review,3.558190240101916,-9.148451323770022,9.327104194731623,False
Nice. ,Accessories & Peripherals,0,Good Review,-9.002481080110531,7.648533244456383,2.564796246292505,False
Good. ,Accessories & Peripherals,0,Good Review,-9.253459707242204,7.293201417487429,2.4114856483664906,False
It just works. ,Accessories & Peripherals,0,Good Review,-8.520089571077634,7.309192499854722,2.6481576971897782,False
Good. ,Accessories & Peripherals,0,Good Review,-8.997783112642091,7.299177280508805,1.4548000514276145,False
Good. ,Kitchen & Home Appliances,0,Good Review,-8.421331109700242,7.235654160363699,2.165145263468874,False
Value for Money meeting all smart phone requirements. ,Mobiles & Accessories,1,Product Quality Related,-2.8249009545319184,9.311770641706811,4.55501426754345,False
. Very bad product never connect only,"Home Theater, TV, & Video",-1,General Review,1.8024221663248428,-6.513466344070441,-6.748609149412073,False
Nice one. ,Accessories & Peripherals,0,Good Review,-8.2895829032161,7.393744233080636,1.8985848162863446,False
Average. Useful itom,Accessories & Peripherals,6,Average Review,4.430701757030499,-9.745153375336814,8.812791063987039,False
Value for money. ,Kitchen & Home Appliances,1,Product Quality Related,-3.571268042078138,9.152493305753827,4.481672255595984,False
Good quality product. ,"Home Theater, TV, & Video",1,Product Quality Related,-2.624852365640727,8.949771843531918,4.801499178953916,False
A decent all rounder.. ,"Headphones, Earbuds, & Accessories",0,Good Review,-9.215550480022916,7.885106410962421,2.0148799130595196,False
Not good for keyboard. Not transparent. ,Accessories & Peripherals,4,Computer Accesories Related,5.979450967212347,-5.729125702458067,-5.378203810863873,False
Ok ok. ,Wearable Technology,0,Good Review,-8.6472261168626,7.219911457603147,1.7924165518188158,False
Working fine till now. ,"Home Theater, TV, & Video",0,Good Review,-9.006927044771963,7.7806520413047116,2.3230734479388855,False
It's Awesome. ,"Printers, Inks, & Accessories",0,Good Review,-9.159058893975889,7.8771292030717746,2.5843823572154507,False
Great water cleanser. ,Kitchen & Home Appliances,-1,General Review,2.5300999853374933,-7.2758417212035456,-7.106628685117055,False
Excellent. Very good quality with good speed,Accessories & Peripherals,1,Product Quality Related,2.610617237982636,11.63505437510446,4.667311873448513,True
Good for use. Fast and smooth,Accessories,1,Product Quality Related,-2.655413341785767,8.58936464270788,4.829315808482174,False
Good at this price (999). ,Accessories & Peripherals,1,Product Quality Related,-2.2609783366680563,8.949911177453096,4.484573076637456,False
Great Product!. ,Kitchen & Home Appliances,1,Product Quality Related,-2.8634025725842895,9.339693015146189,4.147533109654519,False
Value for money. ,"Home Theater, TV, & Video",1,Product Quality Related,-1.9636430132859082,10.029951214706054,4.510082453096544,False
Value for money. ,Kitchen & Home Appliances,1,Product Quality Related,-2.5915443098909523,9.11823924589769,4.952607984939026,False
Amazing product. ,Home Medical Supplies & Equipment,1,Product Quality Related,-1.9894388973469552,8.6674276657785,4.886935174432559,False
Mobile is good at this prize. ,Mobiles & Accessories,1,Product Quality Related,-2.022369304260706,9.131515117517795,4.354138269017554,False
It's OK to use in small room. But for Outdoor activities it will not meet our expectations.. ,Home Audio,1,Product Quality Related,-1.9846985870783362,5.363721451120604,7.787921013190698,True
Good product. ,Accessories & Peripherals,1,Product Quality Related,-1.9791553584470698,8.624413460107393,4.954712677725082,False
Good product. Nice performance. Have used 2 of them. Cleaning up is difficult though.,Kitchen & Home Appliances,1,Product Quality Related,-2.2012066790804328,9.521641937159883,4.809673333850681,False
Charging is really fast. ,Accessories & Peripherals,-1,General Review,2.349383917925536,-6.977782437552419,-7.181604059018943,False
Ok good product. ,Kitchen & Home Appliances,0,Good Review,-8.486858337359653,7.227685112221179,2.506053023138829,False
Must buy product. ,"Home Theater, TV, & Video",-1,General Review,2.18835368541753,-6.985489924446452,-5.792041926640099,False
Value for money but with other considerations. ,"Home Theater, TV, & Video",1,Product Quality Related,-2.8944038734792006,9.405158128523551,4.65667086201611,False
Easy to use. Easy to use,"Heating, Cooling, & Air Quality",1,Product Quality Related,-2.5641063498918766,8.92490101406798,4.925479033864939,False
Great. ,Kitchen & Home Appliances,0,Good Review,-9.210724923280988,9.544545369341918,0.664913537830168,True
No guide stickers provided. ,Accessories & Peripherals,1,Product Quality Related,-2.198377705091307,8.835680147371512,4.98243835395749,False
Nice. ,Mobiles & Accessories,0,Good Review,-8.55428406049043,7.360514464119142,2.2743302103045786,False
Perfect 👍. ,Accessories & Peripherals,0,Good Review,-8.13315276771472,7.346806402877103,1.5651121157319263,False
Good product for room. ,"Heating, Cooling, & Air Quality",1,Product Quality Related,-2.160218759988569,9.440765545837417,4.25627559765739,False
Good. ,Accessories & Peripherals,0,Good Review,-8.285525914967232,7.529537022382167,2.227814615229059,False
Very Sturdy. ,Mobiles & Accessories,1,Product Quality Related,-2.4996248972664152,9.363051723723279,5.2148213675615125,False
No compromise. ,Accessories & Peripherals,1,Product Quality Related,-2.5062750739564974,9.395886833595602,4.90043533675042,False
Good. ,"Heating, Cooling, & Air Quality",0,Good Review,-9.299353905300016,6.723215558215833,2.088309354107911,False
Worth for money. Very nice product,Accessories & Peripherals,1,Product Quality Related,-5.076984376540855,15.958261828218848,-0.9619167415471424,True
No backup at all. ,Networking Devices,5,Battery Related,-6.49772252508728,-3.88307565579292,0.13788052319306798,False
Used the product.  As of everything was fine. Good. ,Kitchen & Home Appliances,-1,General Review,1.8392427849828386,-7.165748674855258,-6.608270493702077,False
Good quality mouse. ,Accessories & Peripherals,4,Computer Accesories Related,7.604467198965421,-5.0158522831062635,-5.8181264594773054,False
Price can be reduced as this product is not worth for 80 rs. ,Mobiles & Accessories,-1,General Review,2.304676074982682,-7.689684225814313,-6.805527867368175,False
Noise cancellation is just a hype. ,"Headphones, Earbuds, & Accessories",1,Product Quality Related,-2.6869971207404233,8.346633184562108,4.3311512051253995,False
Value of money. ,Kitchen & Home Appliances,1,Product Quality Related,-1.8446769308094884,8.82430800373394,4.378547143198617,False
. Good,Accessories & Peripherals,0,Good Review,-8.460175080600983,7.830085657647853,2.1732187410483395,False
. Ok,"Heating, Cooling, & Air Quality",0,Good Review,-8.177787362044214,6.715774929117098,1.828606605717675,False
Good. ,"Headphones, Earbuds, & Accessories",0,Good Review,-8.933284541118677,8.072325187687625,2.0145233785043564,False
Good. ,Kitchen & Home Appliances,0,Good Review,-9.211364419260443,7.222495654941439,1.523186962078236,False
One star for bad delivery options. ,Kitchen & Home Appliances,1,Product Quality Related,-1.8919705623091168,9.543591651058817,4.588513977612218,False
They did what they said... Sent a replacement when complained.... ,Accessories & Peripherals,1,Product Quality Related,-2.6954635315545685,9.479551629060305,4.643972060635936,False
Average product quality. Okay product at Cheap price. But very high delivery charges even for prime customers. Quality is not great (cheap plastic) but does its purpose.,"Home Theater, TV, & Video",1,Product Quality Related,-2.5901806333853705,9.038644771045186,4.898743914942919,False
Best best from market.. ,Kitchen & Home Appliances,1,Product Quality Related,-2.4587596919231385,9.648692854656462,4.144752636697362,False
Ók. ,Mobiles & Accessories,0,Good Review,-8.563588351529622,7.351911881754601,2.198031090905549,False
Wel build just like original .. ,Accessories & Peripherals,1,Product Quality Related,-2.5525967784781556,9.126682875292335,4.390799028299864,False
So good. So nice colour cheap and best,Accessories & Peripherals,1,Product Quality Related,-2.155201436178084,8.828474228740335,4.39098397026559,False
Good product. Fast charging.,Accessories & Peripherals,-1,General Review,1.830974227574188,-6.51978724097797,-6.757189784925303,False
Best room heater. ,"Heating, Cooling, & Air Quality",1,Product Quality Related,-2.7610779659587954,9.364987988179251,4.860573640414131,False
Best for small Family. ,"Heating, Cooling, & Air Quality",-1,General Review,1.6891185007697385,-6.88798782873693,-6.8331786399524335,False
Not working. ,Accessories & Peripherals,0,Good Review,-9.106008847908496,7.788297842597413,2.643444145199906,False
It's a genuine product. ,"Home Theater, TV, & Video",1,Product Quality Related,-2.685004773242461,9.536477651060054,4.648280372881205,False
good. ,Accessories & Peripherals,0,Good Review,-8.934017675783913,7.665112799925845,1.9138840499487586,False
About the product. ,Accessories & Peripherals,1,Product Quality Related,-2.7544354962161015,9.053084514195408,4.877941646402867,False
Excellent. ,Accessories & Peripherals,0,Good Review,-9.555145796690097,7.14481351078274,2.5042694035756052,False
Cheap and best WiFi 5 gigabit router. One of the cheapest WiFi 5 gigabit routers. Those not willing to pay 4k rupees or more for WiFi 6 & 6E routers will find this one to be suitable enough. Keep in mind that WiFi 6 & 6E routers will of course have better performance and stability than WiFi 5 routers.Can easily stream 4k videos and download files. No issues on video calls either on phone or PC. No connection drops or any other problems so far.I had to input my ISP-provided account username and password during setup on the miwifi website. Not sure if that will be the case for everybody.Will update in a few more months.,Networking Devices,1,Product Quality Related,-2.987861810738159,9.263934055019183,4.891217039933814,False
Ok but not bad. Lital bit ok,Mobiles & Accessories,0,Good Review,-9.117986387872778,7.31999609700038,1.1862931354120638,False
Good Product. Everything is Okay. But packaging is not good feeling like seller gave is used cable.,Accessories & Peripherals,2,Electronics-Charging Related,-0.6529270205309977,-4.5056160747561655,2.1085035577863924,False
Good. ,Kitchen & Home Appliances,0,Good Review,-8.592791220045841,7.866675230738698,1.8489788721031515,False
Very User friendly sewing machine for beginners. ,Kitchen & Home Appliances,1,Product Quality Related,-2.4276685320417632,8.825870805950993,4.732698811171156,False
Ear phone With Jack. ,"Headphones, Earbuds, & Accessories",1,Product Quality Related,-2.0474558876891806,8.823333435968193,4.374187858906332,False
Facing Sound/Audio Problem after 12 days of installation only - Please don't buy it. ,"Home Theater, TV, & Video",1,Product Quality Related,-1.9651530765534817,9.138649154437523,5.230021323007922,False
Decent mouse from trusted brand. ,Accessories & Peripherals,4,Computer Accesories Related,6.527923119177912,-5.755042918030595,-6.636437696306049,False
It's work worthy. I expected heavy weight but it is normal weight. Works normal.,Kitchen & Home Appliances,0,Good Review,-8.857605950850335,7.452610339633939,1.6914078574432465,False
Chala bagundhe. Super,Home Medical Supplies & Equipment,0,Good Review,-8.641253163115849,7.359072117951401,1.4440562458753425,False
Good. ,Kitchen & Home Appliances,0,Good Review,-9.175982522043107,7.41315990822287,2.0273371951768935,False
Very lightweight and good looking. ,Kitchen & Home Appliances,1,Product Quality Related,-2.3197466679617245,9.03602635937375,5.550183355254983,False
Good. ,"Headphones, Earbuds, & Accessories",0,Good Review,-8.67583708261604,8.184795898503326,1.715361209708956,False
Compatibility. Compatibility issue,"Printers, Inks, & Accessories",0,Good Review,-8.882700530887814,7.714046566091144,1.4411604512352314,False
pocket friendly  smart watch for people who loves large  screen.. ,Wearable Technology,3,Smart Devices Related,-6.896520222593495,-5.00666531901956,-2.88306514279847,False
On average is ok ok pricing. ,"Printers, Inks, & Accessories",1,Product Quality Related,-3.2742802298784377,9.159276711720443,4.868417840358816,False
Its ok product not too good not bad. ,Accessories & Peripherals,0,Good Review,-8.450118228630727,6.795429632690446,2.754883741205917,False
. I trust the Philips iron and this has delivered as expected.,Kitchen & Home Appliances,1,Product Quality Related,-2.5386420693695126,8.901397652603437,4.758069845997375,False
Nice👍👏😊. Very nice👍👏👏,"Heating, Cooling, & Air Quality",0,Good Review,-9.277266104062674,7.277706977397656,2.5174267596535604,False
Good for home printing and school assigmntsnment. ,"Printers, Inks, & Accessories",1,Product Quality Related,-2.5526490886882924,8.992092144879251,4.743634559827979,False
Value for money. ,Accessories & Peripherals,1,Product Quality Related,-2.3882583069200933,9.016383608085595,4.6586710737339985,False
Good enough. ,Accessories & Peripherals,0,Good Review,-8.963537239922587,6.68387352648371,1.4748641886474327,False
