cohort_week,cohort_index,customer_count,percent
2022-03-28,0,1061126,100.0
2022-03-28,1,725500,68.4
2022-03-28,2,691927,65.2
2022-03-28,3,687924,64.8
2022-03-28,4,703195,66.3
2022-03-28,5,696500,65.6
2022-03-28,6,655985,61.8
2022-03-28,7,564048,53.2
2022-03-28,8,2009,0.2
2022-03-28,9,521128,49.1
2022-03-28,10,597344,56.3
2022-03-28,11,562255,53.0
2022-03-28,12,606588,57.2
2022-03-28,13,390793,36.8
2022-04-04,0,1300994,100.0
2022-04-04,1,547526,42.1
2022-04-04,2,556501,42.8
2022-04-04,3,562814,43.3
2022-04-04,4,570618,43.9
2022-04-04,5,539365,41.5
2022-04-04,6,452128,34.8
2022-04-04,7,2403,0.2
2022-04-04,8,411291,31.6
2022-04-04,9,494290,38.0
2022-04-04,10,456181,35.1
2022-04-04,11,486286,37.4
2022-04-04,12,309166,23.8
2022-04-11,0,761262,100.0
2022-04-11,1,247078,32.5
2022-04-11,2,250298,32.9
2022-04-11,3,250201,32.9
2022-04-11,4,246175,32.3
2022-04-11,5,203435,26.7
2022-04-11,6,1489,0.2
2022-04-11,7,179585,23.6
2022-04-11,8,220055,28.9
2022-04-11,9,207663,27.3
2022-04-11,10,213536,28.1
2022-04-11,11,135291,17.8
2022-04-18,0,599003,100.0
2022-04-18,1,181472,30.3
2022-04-18,2,175792,29.3
2022-04-18,3,168882,28.2
2022-04-18,4,141793,23.7
2022-04-18,5,1219,0.2
2022-04-18,6,122129,20.4
2022-04-18,7,149700,25.0
2022-04-18,8,140050,23.4
2022-04-18,9,144028,24.0
2022-04-18,10,90992,15.2
2022-04-25,0,540544,100.0
2022-04-25,1,149414,27.6
2022-04-25,2,139063,25.7
2022-04-25,3,116803,21.6
2022-04-25,4,1052,0.2
2022-04-25,5,102375,18.9
2022-04-25,6,120030,22.2
2022-04-25,7,111710,20.7
2022-04-25,8,119836,22.2
2022-04-25,9,73238,13.5
2022-05-02,0,530291,100.0
2022-05-02,1,141499,26.7
2022-05-02,2,112417,21.2
2022-05-02,3,1070,0.2
2022-05-02,4,98652,18.6
2022-05-02,5,116049,21.9
2022-05-02,6,105994,20.0
2022-05-02,7,111485,21.0
2022-05-02,8,70258,13.2
2022-05-09,0,473097,100.0
2022-05-09,1,110474,23.4
2022-05-09,2,1064,0.2
2022-05-09,3,85481,18.1
2022-05-09,4,104048,22.0
2022-05-09,5,96152,20.3
2022-05-09,6,95223,20.1
2022-05-09,7,60840,12.9
2022-05-16,0,1716239,100.0
2022-05-16,1,865,0.1
2022-05-16,2,66303,3.9
2022-05-16,3,78703,4.6
2022-05-16,4,73626,4.3
2022-05-16,5,70734,4.1
2022-05-16,6,44283,2.6
2022-05-23,0,9369449,100.0
2022-05-23,1,1529,0.0
2022-05-23,2,2253,0.0
2022-05-23,3,2304,0.0
2022-05-23,4,3015,0.0
2022-05-23,5,2179,0.0
2022-05-30,0,3238885,100.0
2022-05-30,1,144951,4.5
2022-05-30,2,123903,3.8
2022-05-30,3,117600,3.6
2022-05-30,4,71799,2.2
2022-06-06,0,431355,100.0
2022-06-06,1,127991,29.7
2022-06-06,2,111508,25.9
2022-06-06,3,69334,16.1
2022-06-13,0,368173,100.0
2022-06-13,1,97853,26.6
2022-06-13,2,58084,15.8
2022-06-20,0,506375,100.0
2022-06-20,1,111655,22.0
2022-06-27,0,238628,100.0
