updated_sentiment,split_2_category,review_title,product_id,rating,final_l0_category,actual_score,date_of_review
avg,Kitchen&HomeAppliances,Good but creates noise. ,B07Z51CGGH,3.8,Cleaning Essentials,0.999838114,23/06/22
avg,Accessories&Peripherals,Size is not to big not to small. ,B08QJJCY2Q,4.4,Home & Office,0.954326034,27/04/22
pos,Accessories&Peripherals,Durability and Quality. ,B0994GP1CX,3.3,Home & Office,0.9987955093383788,16/06/22
neg,"Heating,Cooling&AirQuality",The final finish product is not  elegant.. ,B09P1MFKG1,4.6,Home & Office,0.9997031092643738,03/05/22
pos,Mobiles&Accessories,Value for Money meeting all smart phone requirements. ,B0B56YRBNT,3.8,Home & Office,0.6418310403823853,29/06/22
neg,"HomeTheater,TV&Video",. Very bad product never connect only,B09LV13JFB,3.3,Home & Office,-0.999644995,01/06/22
pos,Kitchen&HomeAppliances,Value for money. ,B07SLNG3LW,3.9,Cleaning Essentials,0.9952259063720704,09/04/22
pos,"HomeTheater,TV&Video",Good quality product. ,B08PPHFXG3,4.3,Home & Office,0.999865174,29/04/22
pos,"Headphones,Earbuds&Accessories",A decent all rounder.. ,B092X94QNQ,4.1,Home & Office,0.999848723,22/06/22
neg,Accessories&Peripherals,Not good for keyboard. Not transparent. ,B00MFPCY5C,3.5,Home & Office,-0.999763429,11/05/22
avg,WearableTechnology,Ok ok. ,B08HV25BBQ,4.0,Home & Office,0.9997230172157288,11/04/22
avg,"HomeTheater,TV&Video",Working fine till now. ,B075TJHWVC,4.2,Home & Office,0.99929893,05/06/22
pos,"Printers,Inks&Accessories",It's Awesome. ,B07P434WJY,4.3,Home & Office,0.9998682737350464,09/05/22
pos,Accessories,Good for use. Fast and smooth,B0BDYVC5TD,4.4,Home & Office,0.999721348,24/06/22
pos,"HomeTheater,TV&Video",Value for money. ,B09JPC82QC,4.3,Home & Office,0.9952259063720704,07/05/22
pos,HomeStorage&Organization,Amazing product. ,B09FHHTL8L,4.1,Cleaning Essentials,0.9998769760131836,10/05/22
pos,Mobiles&Accessories,Mobile is good at this prize. ,B09NY7W8YD,3.8,Home & Office,0.99951756,01/05/22
avg,HomeAudio,It's OK to use in small room. But for Outdoor activities it will not meet our expectations.. ,B07YNTJ8ZM,3.9,Home & Office,0.9025266766548156,26/05/22
pos,"Heating,Cooling&AirQuality",Easy to use. Easy to use,B00KIDSU8S,4.2,Home & Office,0.9351831674575806,12/04/22
neg,Accessories&Peripherals,No guide stickers provided. ,B09Q3M3WLJ,4.0,Home & Office,-0.658138037,04/05/22
neg,NetworkingDevices,No backup at all. ,B08HLZ28QC,4.1,Home & Office,-0.996453285,18/06/22
neg,Mobiles&Accessories,Price can be reduced as this product is not worth for 80 rs. ,B09Z6WH2N1,4.2,Home & Office,-0.999551833,02/05/22
neg,"Headphones,Earbuds&Accessories",Noise cancellation is just a hype. ,B0B1F6GQPS,3.8,Home & Office,-0.999182642,27/05/22
neg,Kitchen&HomeAppliances,One star for bad delivery options. ,B0BNDRK886,3.9,Home & Office,-0.999796212,17/06/22
avg,"HomeTheater,TV&Video",Average product quality. Okay product at Cheap price. But very high delivery charges even for prime customers. Quality is not great (cheap plastic) but does its purpose.,B07VVXJ2P5,3.6,Home & Office,-0.99317944,09/04/22
