antecedents,consequents,support,confidence,lift
Arhar Dal,Atta,0.028559756777776904,0.20952348018535166,0.8449196906852466
Atta,Arhar Dal,0.028559756777776904,0.11516943514578075,0.8449196906852465
Basmati Rice,Arhar Dal,0.014826395162789724,0.12141135500030023,0.8907124045774959
Arhar Dal,Basmati Rice,0.014826395162789724,0.10877116136815977,0.8907124045774958
Arhar Dal,Besan,0.020405736985856553,0.14970299160077152,1.284253800170764
Besan,Arhar Dal,0.020405736985856553,0.1750542523509352,1.284253800170764
Arhar Dal,Chana Dal,0.02794122653342865,0.2049857451337498,2.669125849937616
Chana Dal,Arhar Dal,0.02794122653342865,0.36382359159011707,2.669125849937616
Kabuli Chana,Arhar Dal,0.017550861150172962,0.27840918531811304,2.0424985365705286
Arhar Dal,Kabuli Chana,0.017550861150172962,0.1287587123744534,2.042498536570528
Arhar Dal,Kala Chana,0.015588952348031938,0.11436552397199745,1.9912597680034372
Kala Chana,Arhar Dal,0.015588952348031938,0.2714249238569423,1.9912597680034372
Malka Masoor,Arhar Dal,0.01040084006986616,0.4083945133362124,2.9961123404730508
Masoor Dal,Arhar Dal,0.012028606369133193,0.36693773865252194,2.6919722255353165
Arhar Dal,Moong Dal (Dhuli),0.025555616657894117,0.18748415058671644,2.481513376716595
Moong Dal (Dhuli),Arhar Dal,0.025555616657894117,0.33825048351206527,2.481513376716595
Arhar Dal,Rajma Chitra,0.014333037423436588,0.10515173171650107,1.8970381842384565
Rajma Chitra,Arhar Dal,0.014333037423436588,0.2585817546180375,1.8970381842384565
Sooji,Arhar Dal,0.020417782875458593,0.169354208116491,1.242436458569994
Arhar Dal,Sooji,0.020417782875458593,0.1497913640869585,1.242436458569994
Arhar Dal,Thick Poha,0.015089833531043043,0.1107038292182493,1.174195720798721
Thick Poha,Arhar Dal,0.015089833531043043,0.16005243978313038,1.174195720798721
Basmati Rice,Atta,0.020763447533604103,0.17002907799593422,0.6856554495025332
Besan,Atta,0.021002794122653344,0.1801762134330169,0.726574560464497
Chana Dal,Atta,0.01619543670277815,0.21088129189767932,0.8503951717672418
Kabuli Chana,Atta,0.012325563734540017,0.19552032966119998,0.7884508996981047
Kala Chana,Atta,0.01189767278650232,0.20715471175065203,0.8353674481805838
Mogra Basmati Rice,Atta,0.011678751836343496,0.2656097386664126,1.0710918797190931
