antecedents,consequents,support,confidence,lift
Bathroom Cleaner,Toilet Cleaner,0.011466622588490873,0.4112744765905549,2.939926069005963
Detergent Powder,Detergent Bar,0.027136414082977164,0.10682243233897623,1.170713217652298
Detergent Bar,Detergent Powder,0.027136414082977164,0.2973996935944681,1.170713217652298
Dishwash Bar,Detergent Bar,0.023246829913339158,0.11401834522375613,1.2495763379054823
Detergent Bar,Dishwash Bar,0.023246829913339158,0.2547720591279864,1.2495763379054823
Detergent Powder,Dishwash Bar,0.04539989137878108,0.17871656918918316,0.8765482243807001
Dishwash Bar,Detergent Powder,0.04539989137878108,0.22267210228852033,0.8765482243807001
Dishwash Gel,Detergent Powder,0.017905499539540484,0.14332698239883868,0.56420634033787
Floor Cleaner,Detergent Powder,0.01619306240997426,0.16875344515316168,0.6642975531594272
Phenyl,Detergent Powder,0.010469196439113084,0.18167513522373382,0.7151637567428549
Detergent Powder,Toilet Cleaner,0.02647996410777114,0.10423831850411414,0.745129998097795
Toilet Cleaner,Detergent Powder,0.02647996410777114,0.18928754692521674,0.7451299980977951
Floor Cleaner,Dishwash Bar,0.015265531653639992,0.15908732971100087,0.7802730156039998
Dishwash Bar,Toilet Cleaner,0.022532763465489148,0.11051607523394792,0.7900054808117151
Toilet Cleaner,Dishwash Bar,0.022532763465489148,0.16107165041726304,0.7900054808117151
Floor Cleaner,Dishwash Gel,0.013280124678268673,0.138396724151508,1.1078152163650374
Dishwash Gel,Floor Cleaner,0.013280124678268673,0.10630254642230691,1.1078152163650374
Toilet Cleaner,Dishwash Gel,0.015610285957165458,0.11158749020984686,0.8932170928780326
Dishwash Gel,Toilet Cleaner,0.015610285957165458,0.12495463618218108,0.8932170928780326
Floor Cleaner,Toilet Cleaner,0.02275378403268082,0.23712497047011577,1.6950477648808524
Toilet Cleaner,Floor Cleaner,0.02275378403268082,0.16265157857779458,1.6950477648808526
