itemsets,support,support_count
frozenset({'Bathroom Cleaner'}),0.027880705565656805,29518
frozenset({'Broom'}),0.030576400859524427,32372
frozenset({'Detergent Bar'}),0.09124560202129921,96604
frozenset({'Detergent Powder'}),0.25403291695199415,268951
frozenset({'Dishwash Bar'}),0.20388675057262273,215860
frozenset({'Dishwash Gel'}),0.12492762520956811,132264
frozenset({'Dishwashing Tub'}),0.026053980023141042,27584
frozenset({'Drain Cleaner'}),0.01376655883255803,14575
frozenset({'Fabric Conditioner'}),0.028579659496091998,30258
frozenset({'Floor Cleaner'}),0.09595692932536777,101592
frozenset({'Glass Cleaner'}),0.03673947436775367,38897
frozenset({'Liquid Detergent'}),0.024374601525419728,25806
frozenset({'Liquid Fabric Whitener'}),0.016029658315426576,16971
frozenset({'Matic Detergent Powder'}),0.06468251906774658,68481
frozenset({'Matic Liquid Detergent'}),0.06864105409808968,72672
frozenset({'Phenyl'}),0.05762591796736641,61010
frozenset({'Scrub Pad'}),0.03976197785071666,42097
frozenset({'Sponge Scrub'}),0.012063567026376065,12772
frozenset({'Sponge Wipe'}),0.010331294717702897,10938
frozenset({'Stain Remover'}),0.014868828071501097,15742
frozenset({'Steel Scrubber'}),0.0377860161987296,40005
frozenset({'Toilet Cleaner'}),0.13989279557958867,148108
frozenset({'Toilet Cleaner Block'}),0.013179059718057096,13953
frozenset({'Wiper'}),0.01034262910576401,10950
frozenset({'Woollen Liquid Detergent'}),0.010370965075916786,10980
"frozenset({'Bathroom Cleaner', 'Toilet Cleaner'})",0.011466622588490873,12140
"frozenset({'Detergent Powder', 'Detergent Bar'})",0.027136414082977164,28730
"frozenset({'Dishwash Bar', 'Detergent Bar'})",0.023246829913339158,24612
"frozenset({'Detergent Powder', 'Dishwash Bar'})",0.04539989137878108,48066
"frozenset({'Detergent Powder', 'Dishwash Gel'})",0.017905499539540484,18957
"frozenset({'Floor Cleaner', 'Detergent Powder'})",0.01619306240997426,17144
"frozenset({'Phenyl', 'Detergent Powder'})",0.010469196439113084,11084
"frozenset({'Detergent Powder', 'Toilet Cleaner'})",0.02647996410777114,28035
"frozenset({'Dishwash Bar', 'Dishwash Gel'})",0.011500625752674206,12176
"frozenset({'Floor Cleaner', 'Dishwash Bar'})",0.015265531653639992,16162
"frozenset({'Dishwash Bar', 'Toilet Cleaner'})",0.022532763465489148,23856
"frozenset({'Floor Cleaner', 'Dishwash Gel'})",0.013280124678268673,14060
"frozenset({'Toilet Cleaner', 'Dishwash Gel'})",0.015610285957165458,16527
"frozenset({'Floor Cleaner', 'Toilet Cleaner'})",0.02275378403268082,24090
