antecedents,consequents,support,confidence,lift
Almonds,Cashews,0.01450059066514711,0.3564821236143267,8.541299523270801
Cashews,Almonds,0.01450059066514711,0.3474336577655769,8.541299523270801
Raisins,Cashews,0.011011716956386258,0.380239476089856,9.110524878292951
Cashews,Raisins,0.011011716956386258,0.2638403626986108,9.110524878292951
Coriander Powder,Chilli Powder,0.02234849504075633,0.38892623278928723,4.370814433458608
Chilli Powder,Coriander Powder,0.02234849504075633,0.25115591712513163,4.370814433458608
Cumin Seeds / Jeera Seeds,Chilli Powder,0.018476405075640728,0.2255905636982164,2.5352223859850347
Chilli Powder,Cumin Seeds / Jeera Seeds,0.018476405075640728,0.20764075851574387,2.5352223859850342
Mustard Oil,Chilli Powder,0.019503667679028825,0.1181726625137066,1.328043046237453
Chilli Powder,Mustard Oil,0.019503667679028825,0.21918529790471727,1.328043046237453
Salt,Chilli Powder,0.01906229629430314,0.1739214793403156,1.954557055041784
Chilli Powder,Salt,0.01906229629430314,0.21422509657029146,1.954557055041784
Soyabean Oil,Chilli Powder,0.01112715922613752,0.11528119997841765,1.2955483335707125
Chilli Powder,Soyabean Oil,0.01112715922613752,0.12504877287447813,1.2955483335707125
Sulphurless Sugar,Chilli Powder,0.012515504417619788,0.10349852134715322,1.1631327300846999
Chilli Powder,Sulphurless Sugar,0.012515504417619788,0.14065121542003198,1.1631327300846999
Turmeric Powder,Chilli Powder,0.024360488884992593,0.3839566047157486,4.314964968234924
Chilli Powder,Turmeric Powder,0.024360488884992593,0.27376702173319284,4.314964968234924
Coriander Powder,Cumin Seeds / Jeera Seeds,0.0148473514678962,0.25838538401697847,3.1547968445776737
Cumin Seeds / Jeera Seeds,Coriander Powder,0.0148473514678962,0.18128106486927584,3.1547968445776737
Coriander Powder,Mustard Oil,0.014380374466947489,0.2502586799392763,1.5163165724664576
Coriander Powder,Salt,0.013148700927270503,0.228824120299389,2.0877563173283447
Salt,Coriander Powder,0.013148700927270503,0.11996673860104141,2.0877563173283447
Turmeric Powder,Coriander Powder,0.019563558781380986,0.30835003522788684,5.366151830936329
Coriander Powder,Turmeric Powder,0.019563558781380986,0.3404605635823962,5.366151830936329
Mustard Oil,Cumin Seeds / Jeera Seeds,0.018994159315540177,0.11508555290553812,1.4051550963076582
Cumin Seeds / Jeera Seeds,Mustard Oil,0.018994159315540177,0.23191216524125943,1.4051550963076582
Cumin Seeds / Jeera Seeds,Salt,0.01671959940664409,0.20414056952701912,1.8625473708602664
Salt,Cumin Seeds / Jeera Seeds,0.01671959940664409,0.15254707081906194,1.8625473708602664
Sulphurless Sugar,Cumin Seeds / Jeera Seeds,0.01241134597874647,0.10263717017428005,1.2531646162343442
Cumin Seeds / Jeera Seeds,Sulphurless Sugar,0.01241134597874647,0.15153827403851247,1.253164616234344
Turmeric Powder,Cumin Seeds / Jeera Seeds,0.017357569844743168,0.273580452969061,3.340323420570147
Cumin Seeds / Jeera Seeds,Turmeric Powder,0.017357569844743168,0.2119299695842474,3.340323420570147
Ghee,Mustard Oil,0.012321943318713538,0.1662538427755819,1.007331522319292
Mustard Oil,Salt,0.026207565201012768,0.15879155699188255,1.4487899082249498
Salt,Mustard Oil,0.026207565201012768,0.2391138212991744,1.4487899082249496
Soyabean Oil,Mustard Oil,0.02749652588207008,0.2848734734986781,1.7260475002383204
Mustard Oil,Soyabean Oil,0.02749652588207008,0.16660136579619295,1.7260475002383204
Sugar,Mustard Oil,0.01532387632574163,0.20858957317973711,1.2638435826996512
Sulphurless Sugar,Mustard Oil,0.020005364159601975,0.1654368486031755,1.0023813571400906
Mustard Oil,Sulphurless Sugar,0.020005364159601975,0.12121243994730352,1.0023813571400906
Turmeric Powder,Mustard Oil,0.017719954413323254,0.27929215888803005,1.6922303321691519
Mustard Oil,Turmeric Powder,0.017719954413323254,0.10736514931986296,1.6922303321691519
Soyabean Oil,Salt,0.016368932662437257,0.16958777719825183,1.5472929721048618
Salt,Soyabean Oil,0.016368932662437257,0.1493476410144727,1.547292972104862
Sugar,Salt,0.013001143138866635,0.17697238221828387,1.614668980199528
Salt,Sugar,0.013001143138866635,0.11862044388128849,1.614668980199528
Sulphurless Sugar,Salt,0.01855018396984266,0.1534030549254931,1.3996260385449428
Salt,Sulphurless Sugar,0.01855018396984266,0.16924904472470254,1.3996260385449428
Turmeric Powder,Salt,0.017068964170365016,0.2690316093329959,2.454603304979791
Salt,Turmeric Powder,0.017068964170365016,0.1557346215525946,2.4546033049797904
Soyabean Oil,Sulphurless Sugar,0.010993489229583427,0.11389633279976978,0.9418798985875245
Turmeric Powder,Sulphurless Sugar,0.010112048440617973,0.15938053642153074,1.318017180987236
"Turmeric Powder, Coriander Powder",Chilli Powder,0.011828492714551194,0.6046186609876214,6.794800009324297
"Turmeric Powder, Chilli Powder",Coriander Powder,0.011828492714551194,0.4855605636813881,8.45010997291986
"Coriander Powder, Chilli Powder",Turmeric Powder,0.011828492714551194,0.5292746868628022,8.342136017435447
Turmeric Powder,"Coriander Powder, Chilli Powder",0.011828492714551194,0.1864341854149708,8.342136017435445
Coriander Powder,"Turmeric Powder, Chilli Powder",0.011828492714551194,0.20584881007227931,8.45010997291986
Chilli Powder,"Turmeric Powder, Coriander Powder",0.011828492714551194,0.13293046939014397,6.794800009324297
