itemsets,support,support_count
frozenset({'Noodles'}),0.0321447203672788,12323
frozenset({'Organic Ajwain Seeds'}),0.015731949081803004,6031
frozenset({'Organic Arhar Dal'}),0.02223758347245409,8525
frozenset({'Organic Atta'}),0.05629173622704507,21580
frozenset({'Organic Brown Sugar'}),0.03274728714524207,12554
frozenset({'Organic Chana Dal'}),0.012786936560934891,4902
frozenset({'Organic Cinnamon Whole (Dalchini)'}),0.01686143572621035,6464
frozenset({'Organic Cow Ghee'}),0.011960037562604341,4585
frozenset({'Organic Daliya'}),0.014808535058430718,5677
frozenset({'Organic Flax Seeds'}),0.013457324707846411,5159
frozenset({'Organic Jaggery Powder'}),0.04165797161936561,15970
frozenset({'Organic Kabuli Chana'}),0.01405467445742905,5388
frozenset({'Organic Kala Chana'}),0.01530936978297162,5869
frozenset({'Organic Masoor Dal'}),0.019621243739565943,7522
frozenset({'Organic Masoor Sabut'}),0.015343280467445743,5882
frozenset({'Organic Methi Seeds'}),0.02275146076794658,8722
frozenset({'Organic Mix Dal'}),0.011954820534223707,4583
frozenset({'Organic Moong Dal (Chilka)'}),0.010235809682804674,3924
frozenset({'Organic Moong Dal (Dhuli)'}),0.012896494156928213,4944
frozenset({'Organic Mustard Oil'}),0.012552170283806344,4812
frozenset({'Organic Mustard Seeds'}),0.039161623539232054,15013
frozenset({'Organic Peanuts'}),0.016037145242070117,6148
frozenset({'Organic Peppercorns'}),0.011761790484140234,4509
frozenset({'Organic Pink Salt'}),0.024634808013355592,9444
frozenset({'Organic Puffed Rice'}),0.017878756260434055,6853
frozenset({'Organic Ragi Flour'}),0.019342132721202002,7415
frozenset({'Organic Sonamasuri Rice'}),0.025907762938230383,9932
frozenset({'Organic Sooji'}),0.010541005843071787,4041
frozenset({'Organic Sugar'}),0.016924040066777963,6488
frozenset({'Organic Turmeric Powder'}),0.015460663606010016,5927
frozenset({'Organic White Poha'}),0.018945638564273788,7262
frozenset({'Pasta'}),0.010394929048414023,3985
frozenset({'Rock Salt'}),0.05606479549248748,21493
frozenset({'Soup'}),0.013167779632721203,5048
frozenset({'Tea Bags'}),0.010024520033388981,3843
