antecedents,consequents,support,confidence,lift
Conditioner,Shampoo,0.010121067553267771,0.3089816326001917,3.714351388364072
Shampoo,Conditioner,0.010121067553267771,0.12166807781370817,3.7143513883640726
Hand Wash,Soap,0.022510401524736663,0.16955034994087756,0.8787989423464029
Soap,Hand Wash,0.022510401524736663,0.11667399718508092,0.8787989423464029
Toothpaste,Hand Wash,0.017315367101905666,0.10699828005705175,0.8059205788403802
Hand Wash,Toothpaste,0.017315367101905666,0.1304208877952127,0.8059205788403802
Shampoo,Soap,0.014806102680423918,0.1779881463648512,0.9225330105786888
Shampoo,Toothpaste,0.010691316349762779,0.12852319211661856,0.7941939909784962
Toothpaste,Soap,0.03709247789225183,0.22920861649467233,1.1880145916681306
Soap,Toothpaste,0.03709247789225183,0.1922545742434905,1.1880145916681308
Toothbrush,Toothpaste,0.013138634101387181,0.2686714791420837,1.6602238924188435
