itemsets,support,support_count
frozenset({'Body Lotion'}),0.021929121129499938,25842
frozenset({'Body Wash'}),0.055902202331401106,65877
frozenset({'Coconut Oil'}),0.03896700109382544,45920
frozenset({'Conditioner'}),0.03275621100223772,38601
frozenset({'Deodorant Spray'}),0.03005686364859097,35420
frozenset({'Face Cream'}),0.010374794324327306,12226
frozenset({'Face Wash'}),0.05911324614975989,69661
frozenset({'Gel'}),0.016964053111207848,19991
frozenset({'Hair Colour'}),0.03495913641250712,41197
frozenset({'Hair Oil'}),0.034222565050367734,40329
frozenset({'Hair Removal Cream'}),0.016922472469796754,19942
frozenset({'Hand Wash'}),0.13276529085658667,156455
frozenset({'Mouthwash'}),0.014651660298039855,17266
frozenset({'Roll On'}),0.012837386597286397,15128
frozenset({'Sanitary Pads'}),0.14466668872986416,170480
frozenset({'Shampoo'}),0.08318589177322767,98029
frozenset({'Soap'}),0.1929341761474772,227360
frozenset({'Sunscreen'}),0.010765143202880436,12686
frozenset({'Talc'}),0.026248416329142175,30932
frozenset({'Toothbrush'}),0.04890222863752118,57628
frozenset({'Toothpaste'}),0.16182846203390436,190704
"frozenset({""Women's Razor""})",0.016933504068538476,19955
"frozenset({'Conditioner', 'Shampoo'})",0.010121067553267771,11927
"frozenset({'Hand Wash', 'Soap'})",0.022510401524736663,26527
"frozenset({'Toothpaste', 'Hand Wash'})",0.017315367101905666,20405
"frozenset({'Shampoo', 'Soap'})",0.014806102680423918,17448
"frozenset({'Toothpaste', 'Shampoo'})",0.010691316349762779,12599
"frozenset({'Toothpaste', 'Soap'})",0.03709247789225183,43711
"frozenset({'Toothpaste', 'Toothbrush'})",0.013138634101387181,15483
