itemsets,support,support_count
frozenset({'3 Ply Mask'}),0.03361324211773907,8338
frozenset({'Adhesive Bandage'}),0.0692945572993304,17189
frozenset({'Antacid'}),0.06144152352080368,15241
frozenset({'Antiseptic Cream'}),0.012138339172045135,3011
frozenset({'Antiseptic Liquid'}),0.07759506887529882,19248
frozenset({'Balm & Ointment'}),0.020596072676844435,5109
frozenset({'COVID self test kit'}),0.02708248507399509,6718
frozenset({'Chest rubs & balms'}),0.021894161422576264,5431
frozenset({'Condom'}),0.2824189601583507,70056
frozenset({'Digestive Tablets'}),0.01386374905767626,3439
frozenset({'Drops'}),0.017358913475531833,4306
frozenset({'Ear Buds'}),0.02742917958372471,6804
frozenset({'Face Mask'}),0.012662412268148047,3141
frozenset({'Hand Gloves'}),0.010142830075345586,2516
frozenset({'Hand Sanitizer'}),0.05129063078244113,12723
frozenset({'Inhaler'}),0.017262161519328217,4282
frozenset({'Lozenges'}),0.05310876129276739,13174
frozenset({'Lubricant'}),0.020471101400081432,5078
frozenset({'Mask'}),0.016903373015073147,4193
frozenset({'ORS'}),0.07917131949511604,19639
frozenset({'Pain Relief Spray'}),0.03374627605751904,8371
frozenset({'Psyllium Husk'}),0.0212572110442358,5273
frozenset({'Tablets'}),0.011694892706111902,2901
"frozenset({'Condom', 'Lubricant'})",0.010828156431787856,2686
