itemsets,support,support_count
frozenset({'Cheese Spread'}),0.061510860697014884,42446
frozenset({'Chilli Sauce'}),0.04239504852497692,29255
frozenset({'Chocolate Spread'}),0.027680322060351537,19101
frozenset({'Chutney'}),0.020976528025945684,14475
frozenset({'Coconut Milk'}),0.019621567493699796,13540
frozenset({'Creamy Peanut Butter'}),0.013297452239452683,9176
frozenset({'Crunchy Peanut Butter'}),0.026281886858621824,18136
frozenset({'Dip'}),0.013545257855510487,9347
frozenset({'Flavoured Mayonnaise'}),0.02656302305461723,18330
frozenset({'Ginger Garlic Paste'}),0.07899347445211048,54510
frozenset({'Honey'}),0.059495085188614856,41055
frozenset({'Jam'}),0.06362083132262987,43902
frozenset({'Ketchup'}),0.020620035736178315,14229
frozenset({'Mango Pickle'}),0.016539213427296584,11412
frozenset({'Mayonnaise'}),0.1054304209652246,72753
frozenset({'Mixed Pickle'}),0.015761016843536115,10876
frozenset({'Peanut Butter'}),0.020327306294987225,14027
frozenset({'Pizza & Pasta Sauce'}),0.05271448590478758,36376
frozenset({'Sandwich Spread'}),0.03166405094071939,21850
frozenset({'Sauce'}),0.11477312743729866,79200
frozenset({'Schezwan Chutney'}),0.01949404179654724,13452
frozenset({'Soy Sauce'}),0.023000998468242478,15872
frozenset({'Tomato Ketchup'}),0.201580449151302,139102
frozenset({'Tomato Puree'}),0.03099599018631794,21389
frozenset({'Vinegar'}),0.034923201996356824,24099
"frozenset({'Tomato Ketchup', 'Mayonnaise'})",0.015000210127569172,10351
"frozenset({'Tomato Ketchup', 'Sauce'})",0.012814883408182223,8843
