antecedents,consequents,support,confidence,lift
Banana,Apple,0.01134666732398353,0.11687301218962858,2.6764580940590723
Apple,Banana,0.01134666732398353,0.259845100514713,2.6764580940590723
Banana,Cucumber,0.014112434049649687,0.14536097953835023,0.9510633321783168
Banana,Onion,0.014533858974787128,0.14970174313053686,0.6319650395491372
Banana,Potato,0.01234218431694971,0.12712704241117131,0.6611074405578732
Banana,Tomato,0.019013685443134934,0.19584487912747922,0.7143632233857339
Banana,Watermelon,0.0133880602632342,0.1378997802317804,1.638178997520167
Watermelon,Banana,0.0133880602632342,0.15904332192481715,1.638178997520167
Bottle Gourd,Beans,0.01000367355312101,0.1448100430482125,3.0051915181030315
Beans,Bottle Gourd,0.01000367355312101,0.2076026930100548,3.0051915181030315
Capsicum,Beans,0.013639059888457568,0.14217903412528907,2.9505911220753167
Beans,Capsicum,0.013639059888457568,0.28304657763305535,2.9505911220753167
Carrot,Beans,0.014481644691609721,0.1949859928983102,4.0464752283224525
Beans,Carrot,0.014481644691609721,0.30053244153043934,4.0464752283224525
Beans,Chilli,0.01105591063035097,0.22943939627290927,1.8692455913781942
Beans,Coriander,0.010284358456089908,0.2134276473564938,1.8342649759303018
Beans,Cucumber,0.014247077987995486,0.2956645618358232,1.9344649731975205
Lady Finger,Beans,0.01352376439007091,0.13213278536968123,2.742104880972176
Beans,Lady Finger,0.01352376439007091,0.28065389100349825,2.742104880972176
Beans,Onion,0.016943667414629646,0.3516259268222921,1.4843868087560255
Beans,Potato,0.015248691064784409,0.31645068315328595,1.645660099018202
Beans,Tomato,0.021609291916009746,0.44844997909836964,1.6357648666802787
Beetroot,Cucumber,0.010846788450518619,0.36292046149889595,2.374504798502474
Beetroot,Tomato,0.011674265567675276,0.390606847990919,1.4247764263762284
Bitter Gourd,Cucumber,0.011290742381087933,0.33584036959075386,2.1973260086535937
Bitter Gourd,Lady Finger,0.012711660006032473,0.3781052166851935,3.6942447385509007
Lady Finger,Bitter Gourd,0.012711660006032473,0.1241981888195734,3.6942447385509007
Bitter Gourd,Onion,0.012963454772624025,0.38559479041019207,1.6277861691899753
Bitter Gourd,Potato,0.011595281525102348,0.3448988119170943,1.793600845841157
Bitter Gourd,Tomato,0.015246040593557128,0.4534897471677585,1.6541479103381198
Bottle Gourd,Brinjal,0.013590026170752898,0.1967249595224027,3.3479314286233306
Brinjal,Bottle Gourd,0.013590026170752898,0.23127962940409658,3.3479314286233306
Capsicum,Bottle Gourd,0.015179778812875142,0.1582401065396443,2.290634187359155
Bottle Gourd,Capsicum,0.015179778812875142,0.21973772051657856,2.290634187359155
Bottle Gourd,Carrot,0.010624678961672596,0.1537995227096586,2.0708112428834604
Carrot,Bottle Gourd,0.010624678961672596,0.14305444034045287,2.0708112428834604
Bottle Gourd,Chilli,0.015606769727589868,0.22591870717240004,1.8405624938515939
Chilli,Bottle Gourd,0.015606769727589868,0.1271485454671089,1.840562493851594
Coriander,Bottle Gourd,0.01312566361173353,0.11280612117056679,1.6329460548735328
Bottle Gourd,Coriander,0.01312566361173353,0.1900029926564814,1.632946054873533
Bottle Gourd,Cucumber,0.02238216932588445,0.32399726824177594,2.119839330536425
Cucumber,Bottle Gourd,0.02238216932588445,0.14644136692019824,2.1198393305364256
Ginger,Bottle Gourd,0.012148699917358306,0.1299187936678902,1.8806637385672629
Bottle Gourd,Ginger,0.012148699917358306,0.17586077241231132,1.8806637385672627
Bottle Gourd,Lady Finger,0.022388265409707193,0.3240855132405866,3.16644983802597
Lady Finger,Bottle Gourd,0.022388265409707193,0.21874263576731745,3.16644983802597
Bottle Gourd,Onion,0.025089095590305,0.36318188445276595,1.5331702168062744
Onion,Bottle Gourd,0.025089095590305,0.10591347138258485,1.5331702168062744
Bottle Gourd,Potato,0.02371085055211966,0.3432308412434104,1.7849267840358156
Potato,Bottle Gourd,0.02371085055211966,0.12330515541502586,1.7849267840358156
Tomato,Bottle Gourd,0.03196468300099074,0.11659428668659533,1.6877823516136141
Bottle Gourd,Tomato,0.03196468300099074,0.4627107328938988,1.6877823516136141
Capsicum,Brinjal,0.012410036380368066,0.12936719982538109,2.2016144528883017
