itemsets,support,support_count
frozenset({'Apple'}),0.043667043563675186,164752
frozenset({'Banana'}),0.09708543581963437,366295
frozenset({'Beans'}),0.048186627100432186,181804
frozenset({'Beetroot'}),0.029887508700171803,112763
frozenset({'Bitter Gourd'}),0.03361937218818134,126843
frozenset({'Bottle Gourd'}),0.06908135197356738,260638
frozenset({'Brinjal'}),0.05876015196741829,221697
frozenset({'Broccoli'}),0.011743972960952727,44309
frozenset({'Cabbage'}),0.0369361718819989,139357
frozenset({'Capsicum'}),0.0959287701760496,361931
frozenset({'Carrot'}),0.07427017949521246,280215
frozenset({'Cauliflower'}),0.040119917920207034,151369
frozenset({'Chilli'}),0.12274438272380446,463104
frozenset({'Cluster Beans'}),0.014283124396686487,53889
frozenset({'Coconut'}),0.0825407099128154,311419
frozenset({'Colocasia'}),0.02403129252349775,90668
frozenset({'Coriander'}),0.1163559519246927,439001
frozenset({'Cucumber'}),0.15284048350956317,576654
frozenset({'Curry Leaves'}),0.03774880636028279,142423
frozenset({'Drumstick'}),0.01563910547656268,59005
frozenset({'Garlic'}),0.06172523412937586,232884
frozenset({'Ginger'}),0.09350995013403433,352805
frozenset({'Grapes'}),0.029022394891587776,109499
frozenset({'Ivy Gourd'}),0.014483500021468816,54645
frozenset({'Kiwi'}),0.016017062673572734,60431
frozenset({'Lady Finger'}),0.10234980177125691,386157
frozenset({'Lemon'}),0.08365152240416823,315610
frozenset({'Lettuce'}),0.016869189173143093,63646
frozenset({'Mango'}),0.06336958647878006,239088
frozenset({'Mint Leaves'}),0.03534853961685848,133367
frozenset({'Mushroom'}),0.03792320736703778,143081
frozenset({'Muskmelon'}),0.042781256079518375,161410
frozenset({'Onion'}),0.23688295041975513,893739
frozenset({'Orange'}),0.012216551980776662,46092
frozenset({'Papaya'}),0.01899751756864853,71676
frozenset({'Peas'}),0.022704466627121635,85662
frozenset({'Pointed Gourd'}),0.02373443974604245,89548
frozenset({'Potato'}),0.19229407296323214,725509
frozenset({'Pumpkin'}),0.019153895371058022,72266
frozenset({'Ridge Gourd'}),0.01680345748670656,63398
frozenset({'Round Gourd'}),0.011300019030383412,42634
frozenset({'Sapota'}),0.011214408809742284,42311
frozenset({'Spinach'}),0.036554769072393384,137918
frozenset({'Sponge Gourd'}),0.015382539861762023,58037
frozenset({'Sprouts'}),0.023050883216527065,86969
frozenset({'Sweet Corn'}),0.02383144699296088,89914
frozenset({'Sweet Lime'}),0.01033471740940822,38992
frozenset({'Tomato'}),0.27415308167639124,1034356
frozenset({'Watermelon'}),0.08417870113127413,317599
"frozenset({'Banana', 'Apple'})",0.01134666732398353,42810
"frozenset({'Cucumber', 'Banana'})",0.014112434049649687,53245
"frozenset({'Banana', 'Onion'})",0.014533858974787128,54835
"frozenset({'Potato', 'Banana'})",0.01234218431694971,46566
"frozenset({'Tomato', 'Banana'})",0.019013685443134934,71737
"frozenset({'Banana', 'Watermelon'})",0.0133880602632342,50512
"frozenset({'Bottle Gourd', 'Beans'})",0.01000367355312101,37743
"frozenset({'Capsicum', 'Beans'})",0.013639059888457568,51459
"frozenset({'Carrot', 'Beans'})",0.014481644691609721,54638
"frozenset({'Chilli', 'Beans'})",0.01105591063035097,41713
"frozenset({'Coriander', 'Beans'})",0.010284358456089908,38802
"frozenset({'Cucumber', 'Beans'})",0.014247077987995486,53753
"frozenset({'Lady Finger', 'Beans'})",0.01352376439007091,51024
"frozenset({'Beans', 'Onion'})",0.016943667414629646,63926
"frozenset({'Potato', 'Beans'})",0.015248691064784409,57532
"frozenset({'Tomato', 'Beans'})",0.021609291916009746,81530
"frozenset({'Cucumber', 'Beetroot'})",0.010846788450518619,40924
"frozenset({'Tomato', 'Beetroot'})",0.011674265567675276,44046
"frozenset({'Bitter Gourd', 'Cucumber'})",0.011290742381087933,42599
"frozenset({'Bitter Gourd', 'Lady Finger'})",0.012711660006032473,47960
"frozenset({'Bitter Gourd', 'Onion'})",0.012963454772624025,48910
"frozenset({'Bitter Gourd', 'Potato'})",0.011595281525102348,43748
"frozenset({'Tomato', 'Bitter Gourd'})",0.015246040593557128,57522
"frozenset({'Bottle Gourd', 'Brinjal'})",0.013590026170752898,51274
"frozenset({'Capsicum', 'Bottle Gourd'})",0.015179778812875142,57272
"frozenset({'Bottle Gourd', 'Carrot'})",0.010624678961672596,40086
"frozenset({'Bottle Gourd', 'Chilli'})",0.015606769727589868,58883
"frozenset({'Coriander', 'Bottle Gourd'})",0.01312566361173353,49522
"frozenset({'Bottle Gourd', 'Cucumber'})",0.02238216932588445,84446
"frozenset({'Ginger', 'Bottle Gourd'})",0.012148699917358306,45836
"frozenset({'Bottle Gourd', 'Lady Finger'})",0.022388265409707193,84469
"frozenset({'Bottle Gourd', 'Onion'})",0.025089095590305,94659
"frozenset({'Bottle Gourd', 'Potato'})",0.02371085055211966,89459
"frozenset({'Tomato', 'Bottle Gourd'})",0.03196468300099074,120599
"frozenset({'Capsicum', 'Brinjal'})",0.012410036380368066,46822
"frozenset({'Brinjal', 'Chilli'})",0.014673273761342028,55361
"frozenset({'Coriander', 'Brinjal'})",0.01147601031987477,43298
"frozenset({'Brinjal', 'Cucumber'})",0.01680372253382929,63399
"frozenset({'Ginger', 'Brinjal'})",0.01040044909584475,39240
"frozenset({'Brinjal', 'Lady Finger'})",0.01942927933157236,73305
"frozenset({'Brinjal', 'Onion'})",0.022478381431434696,84809
"frozenset({'Potato', 'Brinjal'})",0.02142269874160927,80826
"frozenset({'Tomato', 'Brinjal'})",0.02741223362101548,103424
"frozenset({'Cabbage', 'Cucumber'})",0.010226578183335215,38584
"frozenset({'Cabbage', 'Onion'})",0.013052775652983344,49247
"frozenset({'Cabbage', 'Potato'})",0.01191174778963952,44942
"frozenset({'Tomato', 'Cabbage'})",0.015749630126740233,59422
"frozenset({'Capsicum', 'Carrot'})",0.018955640123257515,71518
"frozenset({'Capsicum', 'Chilli'})",0.01874810822616153,70735
"frozenset({'Capsicum', 'Coriander'})",0.017008603959697995,64172
"frozenset({'Capsicum', 'Cucumber'})",0.026762338076086547,100972
"frozenset({'Capsicum', 'Ginger'})",0.014171274510895292,53467
"frozenset({'Capsicum', 'Lady Finger'})",0.02120536010097235,80006
"frozenset({'Capsicum', 'Lemon'})",0.011857678176603019,44738
"frozenset({'Capsicum', 'Onion'})",0.03166783022353544,119480
"frozenset({'Capsicum', 'Potato'})",0.02606128843647112,98327
"frozenset({'Tomato', 'Capsicum'})",0.040424457064221445,152518
"frozenset({'Carrot', 'Chilli'})",0.014100241882004202,53199
"frozenset({'Coriander', 'Carrot'})",0.015897791468345156,59980
"frozenset({'Carrot', 'Cucumber'})",0.02333872439180962,88055
"frozenset({'Ginger', 'Carrot'})",0.01076356365398204,40610
"frozenset({'Carrot', 'Lady Finger'})",0.014213682050531765,53627
"frozenset({'Carrot', 'Onion'})",0.02292922658719494,86510
"frozenset({'Potato', 'Carrot'})",0.019427689048835992,73299
"frozenset({'Tomato', 'Carrot'})",0.029876376721017228,112721
"frozenset({'Cucumber', 'Cauliflower'})",0.01048208360964496,39548
"frozenset({'Lady Finger', 'Cauliflower'})",0.010455843944494891,39449
"frozenset({'Onion', 'Cauliflower'})",0.01395950185983566,52668
"frozenset({'Potato', 'Cauliflower'})",0.013929286487844673,52554
"frozenset({'Tomato', 'Cauliflower'})",0.017737218500077128,66921
"frozenset({'Coriander', 'Chilli'})",0.032887046988084014,124080
"frozenset({'Cucumber', 'Chilli'})",0.029773803484521515,112334
"frozenset({'Curry Leaves', 'Chilli'})",0.010517334876967776,39681
"frozenset({'Chilli', 'Garlic'})",0.016591154741401475,62597
"frozenset({'Ginger', 'Chilli'})",0.024756461451281422,93404
"frozenset({'Lady Finger', 'Chilli'})",0.025061795736664023,94556
"frozenset({'Lemon', 'Chilli'})",0.016567300500355958,62507
"frozenset({'Chilli', 'Onion'})",0.04728175622343896,178390
"frozenset({'Potato', 'Chilli'})",0.038565681592530335,145505
"frozenset({'Tomato', 'Chilli'})",0.05654064736169444,213323
"frozenset({'Coconut', 'Onion'})",0.01021677143979428,38547
"frozenset({'Tomato', 'Coconut'})",0.012077667288467217,45568
"frozenset({'Tomato', 'Colocasia'})",0.0107508413920911,40562
"frozenset({'Coriander', 'Cucumber'})",0.026919245972741493,101564
"frozenset({'Coriander', 'Curry Leaves'})",0.011912277883884976,44944
"frozenset({'Coriander', 'Garlic'})",0.011876496522316702,44809
"frozenset({'Ginger', 'Coriander'})",0.018472989312769916,69697
"frozenset({'Coriander', 'Lady Finger'})",0.01992200193272362,75164
"frozenset({'Coriander', 'Lemon'})",0.014859071794374321,56062
"frozenset({'Mint Leaves', 'Coriander'})",0.01621028202604141,61160
"frozenset({'Coriander', 'Onion'})",0.036107899623474056,136232
"frozenset({'Coriander', 'Potato'})",0.03036777408655485,114575
"frozenset({'Coriander', 'Spinach'})",0.011714817777452653,44199
"frozenset({'Tomato', 'Coriander'})",0.047381678988707404,178767
"frozenset({'Cucumber', 'Garlic'})",0.01396851346200841,52702
"frozenset({'Ginger', 'Cucumber'})",0.022031246935392643,83122
"frozenset({'Cucumber', 'Lady Finger'})",0.0307229372310103,115915
"frozenset({'Cucumber', 'Lemon'})",0.02124962297046792,80173
"frozenset({'Mango', 'Cucumber'})",0.010138847585712265,38253
"frozenset({'Cucumber', 'Onion'})",0.04874349110528361,183905
"frozenset({'Potato', 'Cucumber'})",0.03924499736808207,148068
"frozenset({'Tomato', 'Cucumber'})",0.06403724018093176,241607
"frozenset({'Cucumber', 'Watermelon'})",0.017117273280016453,64582
"frozenset({'Curry Leaves', 'Onion'})",0.011995237633298824,45257
"frozenset({'Tomato', 'Curry Leaves'})",0.014231970301999993,53696
"frozenset({'Ginger', 'Garlic'})",0.020721649101993842,78181
